index,pragmatic_score,word,visit_count,wordpair,product
6016,0.00014371451640640104,knowledge,186,comprehension-understood,0.026730900051590595
2180,0.0001684225811811211,comprehend,112,comprehension-understood,0.018863329092285563
9373,9.220186601592293e-05,school,116,comprehension-understood,0.01069541645784706
9885,9.602414375664042e-05,smart,94,comprehension-understood,0.0090262695131242
10454,0.00010077673217770357,study,78,comprehension-understood,0.007860585109860879
8716,9.683366940187518e-05,reading,81,comprehension-understood,0.007843527221551889
6018,0.0001289772988724544,known,55,comprehension-understood,0.007093751437984993
6141,0.00010236368366944339,learning,69,comprehension-understood,0.007063094173191594
10949,0.0001028741759333019,thought,56,comprehension-understood,0.005760953852264906
12079,9.358265242054081e-05,words,54,comprehension-understood,0.005053463230709204
10876,8.931859817189875e-05,test,53,comprehension-understood,0.004733885703110633
1949,9.437762005014077e-05,clear,49,comprehension-understood,0.004624503382456898
4666,8.551966696091145e-05,good,52,comprehension-understood,0.004447022681967395
12167,9.038101890888249e-05,yes,47,comprehension-understood,0.004247907888717477
8713,9.59118121820071e-05,read,44,comprehension-understood,0.004220119736008312
1256,8.815240803263573e-05,brain,47,comprehension-understood,0.004143163177533879
6796,9.480759929762413e-05,mind,43,comprehension-understood,0.004076726769797838
5679,0.0001006302669067313,intelligence,38,comprehension-understood,0.0038239501424557894
6067,9.306080824929778e-05,language,39,comprehension-understood,0.003629371521722613
12081,8.242972088007545e-05,work,44,comprehension-understood,0.0036269077187233195
4546,9.438069583119688e-05,get,36,comprehension-understood,0.0033977050499230874
5680,9.544139265402997e-05,intelligent,35,comprehension-understood,0.0033404487428910492
4950,8.184338002528515e-05,hard,40,comprehension-understood,0.003273735201011406
4946,8.198828269436466e-05,happy,39,comprehension-understood,0.003197543025080222
11007,8.120643750160909e-05,time,39,comprehension-understood,0.003167051062562754
6650,0.00010269167248224045,meaning,30,comprehension-understood,0.0030807501744672134
5027,9.485223022948688e-05,hear,29,comprehension-understood,0.0027507146766551195
7418,8.833378403058149e-05,okay,31,comprehension-understood,0.002738347304948026
9466,9.417544921275746e-05,see,29,comprehension-understood,0.0027310880271699664
10785,0.00010107409165177034,teach,27,comprehension-understood,0.002729000474597799
9052,8.350701449657923e-05,right,32,comprehension-understood,0.0026722244638905353
3440,9.761800621239045e-05,education,27,comprehension-understood,0.0026356861677345423
7675,8.15258860439093e-05,paper,30,comprehension-understood,0.002445776581317279
5378,9.872821342279981e-05,idea,24,comprehension-understood,0.0023694771221471956
4693,9.064832690806144e-05,got,26,comprehension-understood,0.0023568564996095977
11457,9.305333459720577e-05,university,25,comprehension-understood,0.002326333364930144
4226,8.004106981983573e-05,food,28,comprehension-understood,0.0022411499549554004
11949,7.956974639437229e-05,white,28,comprehension-understood,0.002227952899042424
3538,0.00010120492352830577,empathy,22,comprehension-understood,0.002226508317622727
3181,8.093851653154032e-05,dog,27,comprehension-understood,0.002185339946351589
4742,9.485569794638707e-05,grasp,23,comprehension-understood,0.002181681052766903
7841,8.33472124387938e-05,people,26,comprehension-understood,0.0021670275234086387
12136,8.558024231741299e-05,writing,25,comprehension-understood,0.0021395060579353247
6139,0.00011153294778834477,learned,19,comprehension-understood,0.002119126007978551
12020,9.354226573399508e-05,wise,22,comprehension-understood,0.0020579298461478918
4411,8.141152426456882e-05,fun,25,comprehension-understood,0.0020352881066142206
10934,9.51296414391244e-05,thinking,21,comprehension-understood,0.0019977224702216125
12062,8.261810845969297e-05,wood,24,comprehension-understood,0.0019828346030326314
9374,8.592692224347255e-05,science,23,comprehension-understood,0.0019763192115998685
3202,8.476760723435172e-05,done,23,comprehension-understood,0.0019496549663900896
9804,8.026445734037393e-05,sky,24,comprehension-understood,0.0019263469761689744
10448,9.254357716388667e-05,student,20,comprehension-understood,0.0018508715432777334
1118,8.001563296567904e-05,blue,23,comprehension-understood,0.0018403595582106179
5973,8.454223561368818e-05,kind,21,comprehension-understood,0.0017753869478874518
5072,8.203228676285647e-05,help,21,comprehension-understood,0.0017226780220199857
4460,8.152121918774263e-05,game,21,comprehension-understood,0.0017119456029425952
7262,8.247493297830824e-05,not,20,comprehension-understood,0.0016494986595661648
9223,8.140627413704289e-05,sad,20,comprehension-understood,0.0016281254827408577
8596,8.111953331863479e-05,quiet,20,comprehension-understood,0.0016223906663726958
2203,0.00010030348203476919,concept,16,comprehension-understood,0.001604855712556307
12049,8.008320935186604e-05,woman,20,comprehension-understood,0.0016016641870373208
213,9.366528157685603e-05,agreed,17,comprehension-understood,0.0015923097868065525
7272,8.25712149671508e-05,nothing,19,comprehension-understood,0.0015688530843758653
2073,9.158200730899775e-05,college,17,comprehension-understood,0.0015568941242529617
1825,8.079343209152673e-05,children,19,comprehension-understood,0.0015350752097390077
1639,8.078958827490321e-05,cat,19,comprehension-understood,0.001535002177223161
10545,7.97857630501096e-05,sun,19,comprehension-understood,0.0015159294979520824
3974,9.43902888705499e-05,feel,16,comprehension-understood,0.0015102446219287984
1819,7.924765018567952e-05,child,19,comprehension-understood,0.0015057053535279107
10733,8.297195521544263e-05,talk,18,comprehension-understood,0.0014934951938779673
6309,9.248959278911752e-05,listening,16,comprehension-understood,0.0014798334846258803
6227,9.189193525856171e-05,library,16,comprehension-understood,0.0014702709641369873
214,9.109527515938961e-05,agreement,16,comprehension-understood,0.0014575244025502338
6623,8.086709841370458e-05,math,18,comprehension-understood,0.0014556077714466824
11207,8.08405150391462e-05,tree,18,comprehension-understood,0.0014551292707046316
3802,0.00011041816356089375,explain,13,comprehension-understood,0.0014354361262916187
8940,9.531286718236925e-05,research,15,comprehension-understood,0.0014296930077355387
12019,0.00010181513650560481,wisdom,14,comprehension-understood,0.0014254119110784674
1316,8.318145113434158e-05,bright,17,comprehension-understood,0.001414084669283807
211,9.413782896289247e-05,agree,15,comprehension-understood,0.001412067434443387
4990,8.768016827829969e-05,have,16,comprehension-understood,0.001402882692452795
3869,0.00010017872053389924,facts,14,comprehension-understood,0.0014025020874745893
3903,8.181026893808349e-05,family,17,comprehension-understood,0.0013907745719474193
999,8.09606285381636e-05,big,17,comprehension-understood,0.001376330685148781
8733,9.690094619808162e-05,reason,14,comprehension-understood,0.0013566132467731427
9987,7.974361272901919e-05,soft,17,comprehension-understood,0.0013556414163933262
4579,8.472001780610616e-05,give,16,comprehension-understood,0.0013555202848976986
5583,9.575088911333918e-05,information,14,comprehension-understood,0.0013405124475867486
7177,8.314332801465084e-05,new,16,comprehension-understood,0.0013302932482344135
2132,8.81568570107991e-05,communication,15,comprehension-understood,0.0013223528551619865
2131,8.716899716590714e-05,communicate,15,comprehension-understood,0.001307534957488607
7044,8.160612736863931e-05,music,16,comprehension-understood,0.001305698037898229
6964,8.140729908105239e-05,mother,16,comprehension-understood,0.0013025167852968383
11462,8.653376889660133e-05,unknown,15,comprehension-understood,0.00129800653344902
6372,8.642647627938646e-05,look,15,comprehension-understood,0.0012963971441907968
5274,8.07106962626409e-05,house,16,comprehension-understood,0.0012913711402022545
2189,8.066982370937876e-05,computer,16,comprehension-understood,0.0012907171793500602
12077,9.025329878377675e-05,word,14,comprehension-understood,0.0012635461829728744
3803,0.00010479150093351404,explanation,12,comprehension-understood,0.0012574980112021684
8586,8.372242350086865e-05,question,15,comprehension-understood,0.0012558363525130298
4596,8.216281382117183e-05,glasses,15,comprehension-understood,0.0012324422073175774
10768,8.184228898081322e-05,task,15,comprehension-understood,0.0012276343347121983
3551,8.179513350026759e-05,empty,15,comprehension-understood,0.0012269270025040138
5031,8.109495927100381e-05,heart,15,comprehension-understood,0.001216424389065057
5194,8.085268601611409e-05,home,15,comprehension-understood,0.0012127902902417114
932,8.577570181967807e-05,being,14,comprehension-understood,0.001200859825475493
4770,8.002426990925325e-05,green,15,comprehension-understood,0.0012003640486387987
10115,8.544346304044992e-05,speech,14,comprehension-understood,0.001196208482566299
11345,8.292897142893361e-05,type,14,comprehension-understood,0.0011610056000050705
7231,8.291594599572152e-05,noise,14,comprehension-understood,0.0011608232439401013
657,0.00010457193614335951,attentive,11,comprehension-understood,0.0011502912975769547
10069,8.049683513704552e-05,space,14,comprehension-understood,0.0011269556919186372
9131,8.042639815668155e-05,room,14,comprehension-understood,0.0011259695741935418
1146,7.994080819229537e-05,body,14,comprehension-understood,0.0011191713146921352
8074,7.976958532924983e-05,play,14,comprehension-understood,0.0011167741946094976
401,8.550883745739555e-05,answer,13,comprehension-understood,0.001111614886946142
10052,8.52865979442192e-05,sound,13,comprehension-understood,0.0011087257732748496
4069,8.439471455636683e-05,finished,13,comprehension-understood,0.0010971312892327687
2803,8.410665506783172e-05,deep,13,comprehension-understood,0.0010933865158818123
